if system_dependent('IsDebugMode')==1, dbcont; end
MCS = 6, SNR = 5.00dB, PER = 33.80%
MCS = 5, SNR = 5.00dB, PER = 36.90%
MCS = 4, SNR = 5.00dB, PER = 33.60%
MCS = 3, SNR = 5.00dB, PER = 26.00%
MCS = 2, SNR = 5.00dB, PER = 24.80%
MCS = 10, SNR = 5.00dB, PER = 63.70%
MCS = 9, SNR = 5.00dB, PER = 48.70%
MCS = 8, SNR = 5.00dB, PER = 46.70%
MCS = 1, SNR = 5.00dB, PER = 14.20%
MCS = 7, SNR = 5.00dB, PER = 40.20%
MCS = 6, SNR = 6.00dB, PER = 32.80%
MCS = 5, SNR = 6.00dB, PER = 35.50%
MCS = 4, SNR = 6.00dB, PER = 31.70%
MCS = 3, SNR = 6.00dB, PER = 27.80%
MCS = 2, SNR = 6.00dB, PER = 23.80%
MCS = 10, SNR = 6.00dB, PER = 57.20%
MCS = 9, SNR = 6.00dB, PER = 48.20%
MCS = 1, SNR = 6.00dB, PER = 9.30%
MCS = 8, SNR = 6.00dB, PER = 44.10%
MCS = 7, SNR = 6.00dB, PER = 41.50%
MCS = 6, SNR = 7.00dB, PER = 30.90%
MCS = 5, SNR = 7.00dB, PER = 30.40%
MCS = 4, SNR = 7.00dB, PER = 29.70%
MCS = 3, SNR = 7.00dB, PER = 26.30%
MCS = 2, SNR = 7.00dB, PER = 19.00%
MCS = 10, SNR = 7.00dB, PER = 55.80%
MCS = 9, SNR = 7.00dB, PER = 46.40%
MCS = 1, SNR = 7.00dB, PER = 8.40%
MCS = 8, SNR = 7.00dB, PER = 43.00%
MCS = 7, SNR = 7.00dB, PER = 35.20%
if system_dependent('IsDebugMode')==1, dbcont; end
MCS = 6, SNR = 8.00dB, PER = 30.70%
MCS = 5, SNR = 8.00dB, PER = 32.80%
MCS = 4, SNR = 8.00dB, PER = 26.10%
MCS = 3, SNR = 8.00dB, PER = 22.60%
MCS = 2, SNR = 8.00dB, PER = 17.20%
MCS = 10, SNR = 8.00dB, PER = 51.30%
MCS = 9, SNR = 8.00dB, PER = 44.80%
MCS = 1, SNR = 8.00dB, PER = 6.60%
MCS = 8, SNR = 8.00dB, PER = 36.90%
MCS = 7, SNR = 8.00dB, PER = 33.70%
MCS = 6, SNR = 9.00dB, PER = 25.50%
MCS = 5, SNR = 9.00dB, PER = 28.70%
MCS = 4, SNR = 9.00dB, PER = 24.60%
MCS = 3, SNR = 9.00dB, PER = 17.00%
MCS = 2, SNR = 9.00dB, PER = 14.50%
MCS = 10, SNR = 9.00dB, PER = 49.20%
MCS = 9, SNR = 9.00dB, PER = 41.50%
MCS = 1, SNR = 9.00dB, PER = 3.70%
MCS = 8, SNR = 9.00dB, PER = 35.70%
MCS = 7, SNR = 9.00dB, PER = 29.60%
MCS = 6, SNR = 10.00dB, PER = 21.80%
MCS = 5, SNR = 10.00dB, PER = 22.70%
MCS = 4, SNR = 10.00dB, PER = 20.10%
MCS = 3, SNR = 10.00dB, PER = 15.60%
MCS = 2, SNR = 10.00dB, PER = 10.80%
MCS = 10, SNR = 10.00dB, PER = 48.60%
MCS = 9, SNR = 10.00dB, PER = 34.70%
MCS = 1, SNR = 10.00dB, PER = 2.20%
MCS = 8, SNR = 10.00dB, PER = 31.50%
MCS = 7, SNR = 10.00dB, PER = 27.10%
diary off
